LfNr	Datum	Zeit	WoTag	Kl	NrBu	Gemeinde	Strasse	Gt	Sv	Lv	Bet	Art	Char1	Char2	Beso1	Beso2	Beso3	LZ	Kat	Typ	UTyp	1Urs01	1Urs02	2Urs01	2Urs02	AUrs01	AV1	AV2	Jahr	Mt	Tag	Licht	Str_Zus	Bet_01	Bet_02	Unf_Typ	Fahrtrichtung	Koord.x	Koord.y
1	02.01.2020	22:30	Do	5		Bremen	Lesumer Heerstraße	0	0	1	1	0	2		9				3	7		1	49				71		2020	01	02	du	na	RF	-	SO		8,684104	53,170957
2	03.01.2020	17:10	Fr	5		Bremen	Autobahnzubringer Horn-Lehe /	0	0	1	2	5	2					8	3	2		35					21	71	2020	01	03	du	na	PKW	RF	AB		8,879570	53,113038
3	05.01.2020	17:10	So	5		Bremen	Werderstraße	0	1	0	2	5	2		9				2	2		34					21	71	2020	01	05	du	na	PKW	RF	AB		8,805681	53,071600
4	06.01.2020	09:10	Mo	5		Bremen	In der Vahr	0	0	1	2	5							3	3		37					59	71	2020	01	06	he	na	SOF	RF	EK		8,876632	53,081451
5	06.01.2020	13:00	Mo	5		Bremen	Richard-Boljahn-Allee	0	0	1	2	5	1						3	3		31					21	71	2020	01	06	he	na	PKW	RF	EK		8,876236	53,082168
6	06.01.2020	13:10	Mo	5		Bremen	Meinert-Löffler-Straße	0	0	1	2	5							3	2		34					21	71	2020	01	06	he	tr	PKW	RF	AB		8,619123	53,186097
7	06.01.2020	15:00	Mo	5		Bremen	Theodor-Billroth-Straße	0	0	1	2	6							3	4		10					71	81	2020	01	06	he	tr	RF	FG	ÜS		8,826103	53,034986
8	07.01.2020	08:25	Di	5		Bremen	Zum Sebaldsbrücker Bahnhof	0	0	0	2	0	3						5	2		49	34				40	71	2020	01	07	he	tr	LKW	RF	AB		8,882959	53,063272
9	07.01.2020	14:00	Di	5		Bremen	Lindenstraße	0	0	1	1	0			5				3	7		49					71		2020	01	07	he	tr	RF	-	SO		8,600200	53,177787
10	07.01.2020	17:45	Di	5		Bremen	Buntentorsteinweg	0	0	1	2	3							3	6		34					40	71	2020	01	07	dä	tr	LKW	RF	LV		8,809142	53,063379
